Shape_Leng,Shape_Area,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo
4.69513542984,0.39654290480,Abia,NG001,Abia,,,Nigeria,NG,2016/11/29,2019/04/17,
11.52544251960,3.11300650927,Adamawa,NG002,Adamawa,,,Nigeria,NG,2016/11/29,2019/04/17,
5.26382997466,0.54947615359,Akwa Ibom,NG003,Akwa Ibom,,,Nigeria,NG,2016/11/29,2019/04/17,
3.59595981480,0.39266075920,Anambra,NG004,Anambra,,,Nigeria,NG,2016/11/29,2019/04/17,
13.95200506100,4.01101753486,Bauchi,NG005,Bauchi,,,Nigeria,NG,2016/11/29,2019/04/17,
5.04670844166,0.77676790558,Bayelsa,NG006,Bayelsa,,,Nigeria,NG,2016/11/29,2019/04/17,
9.40808023627,2.57836325971,Benue,NG007,Benue,,,Nigeria,NG,2016/11/29,2019/04/17,
13.71436376420,5.98784871460,Borno,NG008,Borno,,,Nigeria,NG,2016/11/29,2019/04/17,
8.77979585688,1.71121824138,Cross River,NG009,Cross River,,,Nigeria,NG,2016/11/29,2019/04/17,
7.37252638825,1.39408200625,Delta,NG010,Delta,,,Nigeria,NG,2016/11/29,2019/04/17,
4.48935508939,0.51804959578,Ebonyi,NG011,Ebonyi,,,Nigeria,NG,2016/11/29,2019/04/17,
7.88942515099,1.59580861420,Edo,NG012,Edo,,,Nigeria,NG,2016/11/29,2019/04/17,
3.39563322793,0.47163372168,Ekiti,NG013,Ekiti,,,Nigeria,NG,2016/11/29,2019/04/17,
4.31989295681,0.62432294677,Enugu,NG014,Enugu,,,Nigeria,NG,2016/11/29,2019/04/17,
3.49841216703,0.60722180613,Federal Capital Territory,NG015,Federal Capital Territory,,,Nigeria,NG,2016/11/29,2019/04/17,
5.95528604629,1.43874663665,Gombe,NG016,Gombe,,,Nigeria,NG,2016/11/29,2019/04/17,
2.87808777843,0.41409740100,Imo,NG017,Imo,,,Nigeria,NG,2016/11/29,2019/04/17,
11.77149675610,1.92887289526,Jigawa,NG018,Jigawa,,,Nigeria,NG,2016/11/29,2019/04/17,
12.61367813790,3.64563869026,Kaduna,NG019,Kaduna,,,Nigeria,NG,2016/11/29,2019/04/17,
8.24419541627,1.68560690275,Kano,NG020,Kano,,,Nigeria,NG,2016/11/29,2019/04/17,
9.10563708702,1.99194739873,Katsina,NG021,Katsina,,,Nigeria,NG,2016/11/29,2019/04/17,
14.96898071640,3.03522703586,Kebbi,NG022,Kebbi,,,Nigeria,NG,2016/11/29,2019/04/17,
10.47638299150,2.36888230195,Kogi,NG023,Kogi,,,Nigeria,NG,2016/11/29,2019/04/17,
12.04696312760,2.76624444350,Kwara,NG024,Kwara,,,Nigeria,NG,2016/11/29,2019/04/17,
4.28776988005,0.30016567482,Lagos,NG025,Lagos,,,Nigeria,NG,2016/11/29,2019/04/17,
9.53718783477,2.19792715531,Nasarawa,NG026,Nasarawa,,,Nigeria,NG,2016/11/29,2019/04/17,
18.92155899270,5.93095636935,Niger,NG027,Niger,,,Nigeria,NG,2016/11/29,2019/04/17,
9.64977383552,1.36402109664,Ogun,NG028,Ogun,,,Nigeria,NG,2016/11/29,2019/04/17,
7.75110876236,1.23354633652,Ondo,NG029,Ondo,,,Nigeria,NG,2016/11/29,2019/04/17,
4.66013974094,0.70454935726,Osun,NG030,Osun,,,Nigeria,NG,2016/11/29,2019/04/17,
8.62458551485,2.26491767905,Oyo,NG031,Oyo,,,Nigeria,NG,2016/11/29,2019/04/17,
8.57552688522,2.18099563444,Plateau,NG032,Plateau,,,Nigeria,NG,2016/11/29,2019/04/17,
5.81454502122,0.83019551533,Rivers,NG033,Rivers,,,Nigeria,NG,2016/11/29,2019/04/17,
10.50315864410,2.67954670049,Sokoto,NG034,Sokoto,,,Nigeria,NG,2016/11/29,2019/04/17,
13.69625511340,4.80247381256,Taraba,NG035,Taraba,,,Nigeria,NG,2016/11/29,2019/04/17,
11.09693679750,3.72668829443,Yobe,NG036,Yobe,,,Nigeria,NG,2016/11/29,2019/04/17,
9.46614405484,2.78285546150,Zamfara,NG037,Zamfara,,,Nigeria,NG,2016/11/29,2019/04/17,
